"State","HighSchool"
"Montana","94"
"Wyoming","93"
"Vermont","93"
"North Dakota","93"
"New Hampshire","93"
"Minnesota","93"
"Maine","93"
"Alaska","93"
"Wisconsin","92"
"Utah","92"
"South Dakota","92"
"Iowa","92"
"Hawaii","92"
"Colorado","92"
"Washington","91"
"Pennsylvania","91"
"Oregon","91"
"Nebraska","91"
"Michigan","91"
"Massachusetts","91"
"Kansas","91"
"Idaho","91"
"Connecticut","91"
"Virginia","90"
"Ohio","90"
"New Jersey","90"
"Missouri","90"
"Maryland","90"
"Delaware","90"
"Rhode Island","89"
"Indiana","89"
"Illinois","89"
"Tennessee","88"
"South Carolina","88"
"Oklahoma","88"
"North Carolina","88"
"Florida","88"
"West Virginia","87"
"New York","87"
"Nevada","87"
"Georgia","87"
"Arkansas","87"
"Arizona","87"
"New Mexico","86"
"Kentucky","86"
"Alabama","86"
"Mississippi","85"
"Louisiana","85"
"Texas","84"
"California","83"
